SR CREATE DATE,SR TYPE,count_sr_type,rank_no,call_year,call_month,call_day
2017-06-09,Missed Garbage Pickup,78,2,2017,6,9
2017-06-09,Nuisance On Property,62,3,2017,6,9
2017-06-10,Nuisance On Property,46,1,2017,6,10
2017-06-10,Sewer Wastewater,33,2,2017,6,10
2017-06-10,Water Leak,31,3,2017,6,10
2017-06-11,Nuisance On Property,21,1,2017,6,11
2017-06-11,Traffic Signal Maintenance,21,2,2017,6,11
2017-06-11,Sewer Wastewater,19,3,2017,6,11
2017-06-12,Nuisance On Property,97,1,2017,6,12
2017-06-12,Container Problem,92,2,2017,6,12
2017-06-12,Missed Garbage Pickup,83,3,2017,6,12
2017-06-13,Missed Garbage Pickup,131,1,2017,6,13
2017-06-13,Container Problem,95,2,2017,6,13
2017-06-13,Nuisance On Property,92,3,2017,6,13
2017-06-14,Nuisance On Property,92,1,2017,6,14
2017-06-14,Missed Garbage Pickup,72,2,2017,6,14
2017-06-14,Water Leak,61,3,2017,6,14
2017-06-15,Missed Garbage Pickup,103,1,2017,6,15
2017-06-15,Container Problem,94,2,2017,6,15
2017-06-15,Nuisance On Property,89,3,2017,6,15
2017-06-16,Missed Garbage Pickup,117,1,2017,6,16
2017-06-16,Container Problem,72,2,2017,6,16
2017-06-16,Sewer Wastewater,67,3,2017,6,16
2017-06-17,Sewer Wastewater,31,1,2017,6,17
2017-06-17,Water Leak,26,2,2017,6,17
2017-06-17,Container Problem,23,3,2017,6,17
